student_id;origin_country;destination_country;destination_city;university_name;course_name;field_of_study;year_of_enrollment;scholarship_received;enrollment_reason;graduation_year;placement_status;placement_country;placement_company;starting_salary_usd;gpa_or_score;visa_status;post_graduation_visa;language_proficiency_test;test_score
S00001;Finland;Russia;Moscow;Lomonosov Moscow State University;Computer Science;Engineering;2021;No;Higher Ranking;2024;Placed;Russia;Microsoft;36416;392;Tier 4;Work Permit;TOEFL;78
S00002;UK;Germany;Aachen;RWTH Aachen;Civil Engineering;Law;2023;Yes;Job Opportunities;2024;Placed;Germany;Google;32956;26;Study Permit;OPT;PTE;79
S00003;Ireland;Canada;Vancouver;University of British Columbia;Law;Arts;2019;No;Scholarship;2020;Not Placed;N/A;N/A;0;272;F1;Blue Card;None;0
S00004;UAE;UK;Birmingham;University of Birmingham;Data Science;Social Sciences;2021;Yes;Quality of Life;2023;Placed;UK;Apple;50892;371;Schengen Student Visa;PSW;None;0
S00005;South Africa;Germany;Stuttgart;University of Stuttgart;Business Administration;Law;2020;Yes;Political Stability;2021;Placed;Germany;IBM;54790;296;Schengen Student Visa;OPT;PTE;82
S00006;UAE;South Africa;Pretoria;University of Pretoria;Mechanical Engineering;Engineering;2022;Yes;Job Opportunities;2023;Not Placed;N/A;N/A;0;269;J1;Blue Card;TOEFL;74
S00007;UAE;UK;Edinburgh;University of Edinburgh;Architecture;Law;2019;Yes;Quality of Life;2021;Not Placed;N/A;N/A;0;299;Study Permit;Blue Card;Duolingo;56
S00008;UAE;UK;Cambridge;University of Cambridge;Finance;Law;2023;No;Job Opportunities;2024;Placed;UK;Facebook;98247;353;Student Visa;Work Permit;IELTS;54
S00009;India;Russia;Moscow;Higher School of Economics;Economics;Business;2021;Yes;Higher Ranking;2024;Placed;Russia;McKinsey;118106;32;Student Visa;Work Permit;None;0
S00010;Germany;India;Mumbai;IIT Bombay;Data Science;Business;2023;No;Quality of Life;2025;Placed;India;Microsoft;78324;265;J1;Post-Study Visa;None;0
S00011;South Africa;UAE;Dubai;University of Dubai;Data Science;Arts;2023;No;Higher Ranking;2026;Not Placed;N/A;N/A;0;302;Schengen Student Visa;Blue Card;None;0
S00012;India;UK;Edinburgh;University of Edinburgh;Psychology;Computer Science;2020;Yes;Job Opportunities;2022;Placed;UK;Apple;143194;278;Student Visa;OPT;IELTS;65
S00013;UAE;India;Delhi;JNU Delhi;Civil Engineering;Business;2020;No;Higher Ranking;2022;Placed;India;Facebook;89534;347;F1;Post-Study Visa;TOEFL;67
S00014;UK;USA;Boston;Harvard University;Psychology;Engineering;2021;Yes;Job Opportunities;2024;Not Placed;N/A;N/A;0;291;Study Permit;OPT;TOEFL;65
S00015;Ireland;UAE;Dubai;Manipal Academy Dubai;Medicine;Computer Science;2020;Yes;Higher Ranking;2021;Not Placed;N/A;N/A;0;3;Study Permit;Post-Study Visa;Duolingo;81
S00016;South Africa;USA;San Francisco;UC Berkeley;Finance;Social Sciences;2022;No;Political Stability;2023;Placed;USA;Siemens;87234;3;F1;Blue Card;IELTS;6
S00017;UAE;UK;Manchester;University of Manchester;Data Science;Social Sciences;2023;Yes;Quality of Life;2024;Placed;UK;Intel;126686;254;Study Permit;OPT;Duolingo;61
S00018;Ireland;UK;London;King's College London;Architecture;Engineering;2023;Yes;Political Stability;2025;Not Placed;N/A;N/A;0;344;Study Permit;Work Permit;PTE;78
S00019;South Africa;Russia;Moscow;Moscow Institute of Physics and Technology;Electrical Engineering;Arts;2019;No;Quality of Life;2021;Not Placed;N/A;N/A;0;383;Study Permit;PSW;IELTS;52
S00020;Russia;Finland;Turku;University of Turku;Electrical Engineering;Medicine;2022;No;Job Opportunities;2024;Not Placed;N/A;N/A;0;398;Study Permit;OPT;PTE;85
S00021;UK;Canada;Vancouver;Simon Fraser University;Architecture;Medicine;2022;No;Political Stability;2024;Placed;Canada;Intel;138947;295;Student Visa;OPT;IELTS;6
S00022;Canada;South Africa;Johannesburg;University of Johannesburg;Architecture;Business;2019;Yes;Scholarship;2020;Placed;South Africa;Deloitte;71543;274;Schengen Student Visa;OPT;IELTS;65
S00023;Germany;UK;Edinburgh;University of Edinburgh;Law;Computer Science;2020;No;Quality of Life;2023;Placed;UK;Microsoft;39364;256;Tier 4;PSW;None;0
S00024;Canada;Finland;Joensuu;University of Eastern Finland;Political Science;Computer Science;2019;No;Political Stability;2022;Placed;Finland;Apple;117865;376;J1;Post-Study Visa;Duolingo;72
S00025;UAE;Russia;Moscow;Moscow Institute of Physics and Technology;Biotechnology;Law;2020;No;Higher Ranking;2022;Placed;Russia;Deloitte;78449;267;Study Permit;Post-Study Visa;Duolingo;79
S00026;Germany;Finland;Tampere;Tampere University;Medicine;Arts;2019;Yes;Political Stability;2022;Not Placed;N/A;N/A;0;292;Tier 4;Post-Study Visa;TOEFL;82
S00027;India;Ireland;Galway;National University of Ireland Galway;Medicine;Medicine;2020;No;Quality of Life;2022;Placed;Ireland;Amazon;77211;292;Study Permit;OPT;PTE;73
S00028;Finland;UK;London;UCL;Electrical Engineering;Business;2023;Yes;Scholarship;2024;Placed;UK;Amazon;130384;378;Student Visa;PSW;None;0
S00029;Canada;Germany;Aachen;RWTH Aachen;Business Administration;Medicine;2022;No;Quality of Life;2023;Placed;Germany;SAP;48936;258;Study Permit;Blue Card;IELTS;74
S00030;India;South Africa;Johannesburg;University of Johannesburg;Data Science;Engineering;2020;No;Quality of Life;2023;Placed;South Africa;Google;97998;254;Student Visa;OPT;IELTS;58
S00031;Russia;UK;London;King's College London;Psychology;Engineering;2020;No;Quality of Life;2023;Placed;UK;Google;81762;38;J1;Work Permit;Duolingo;69
S00032;Germany;India;Pilani;BITS Pilani;Electrical Engineering;Computer Science;2022;No;Scholarship;2025;Placed;India;Deloitte;126333;252;F1;Post-Study Visa;None;0
S00033;South Africa;USA;Los Angeles;UCLA;Finance;Natural Sciences;2021;No;Job Opportunities;2023;Placed;USA;Siemens;131755;28;F1;Work Permit;PTE;83
S00034;South Africa;Finland;Turku;University of Turku;Political Science;Social Sciences;2019;Yes;Quality of Life;2021;Placed;Finland;Google;77843;311;Schengen Student Visa;PSW;None;0
S00035;Finland;Germany;Munich;Technical University of Munich;Data Science;Business;2020;Yes;Job Opportunities;2022;Not Placed;N/A;N/A;0;315;J1;Blue Card;IELTS;63
S00036;USA;UAE;Abu Dhabi;Zayed University;Data Science;Natural Sciences;2020;No;Scholarship;2023;Not Placed;N/A;N/A;0;391;Student Visa;PSW;PTE;78
S00037;UAE;UK;Oxford;University of Oxford;Computer Science;Natural Sciences;2021;Yes;Higher Ranking;2023;Placed;UK;Amazon;56895;322;J1;PSW;None;0
S00038;South Africa;Ireland;Galway;National University of Ireland Galway;Medicine;Social Sciences;2020;No;Quality of Life;2023;Placed;Ireland;Facebook;147376;317;Student Visa;Blue Card;TOEFL;77
S00039;Canada;India;Bangalore;IISc Bangalore;Law;Business;2021;No;Higher Ranking;2022;Not Placed;N/A;N/A;0;385;Study Permit;Work Permit;Duolingo;85
S00040;Germany;Ireland;Maynooth;Maynooth University;Economics;Law;2022;No;Scholarship;2025;Placed;Ireland;Tesla;112677;334;Tier 4;Post-Study Visa;IELTS;7
